Godzina,Cena_prognoza,Cena_rzeczywista,Blad [%],Data,MAE
0,400.03,425.32,5.946111163359358,2025-05-11,25.29000000000002
1,389.86,412.15,5.40822516074244,2025-05-11,22.289999999999964
2,388.98,398.27,2.332588445024723,2025-05-11,9.289999999999964
3,387.69,387.45,0.0619434765776252,2025-05-11,0.2400000000000091
4,386.87,375.88,2.9238054698308,2025-05-11,10.990000000000007
5,385.5,390.21,1.2070423618051769,2025-05-11,4.70999999999998
6,369.19,401.56,8.061061858750874,2025-05-11,32.370000000000005
7,333.8,419.75,20.47647409172126,2025-05-11,85.94999999999999
8,269.35,436.2,38.25080238422741,2025-05-11,166.84999999999997
9,144.65,455.8,68.26458973233875,2025-05-11,311.15
10,39.6,472.1,91.6119466214785,2025-05-11,432.5
11,15.98,484.25,96.70005162622611,2025-05-11,468.27
12,8.68,493.5,98.24113475177305,2025-05-11,484.82
13,24.64,488.0,94.95081967213116,2025-05-11,463.36
14,62.09,475.9,86.95314141626392,2025-05-11,413.81
15,201.5,460.3,56.22420160764718,2025-05-11,258.8
16,276.23,449.1,38.49254063682921,2025-05-11,172.87
17,379.4,440.65,13.899920571882443,2025-05-11,61.25
18,410.55,430.22,4.57207940123658,2025-05-11,19.670000000000016
19,468.21,418.7,11.82469548602818,2025-05-11,49.50999999999999
20,501.75,405.55,23.720872888669707,2025-05-11,96.2
21,486.96,396.8,22.721774193548377,2025-05-11,90.15999999999995
22,427.59,385.2,11.00467289719626,2025-05-11,42.38999999999999
23,391.07,372.65,4.942975982825713,2025-05-11,18.420000000000016
0,400.03,425.32,5.946111163359358,2025-05-11,25.29000000000002
1,389.86,412.15,5.40822516074244,2025-05-11,22.289999999999964
2,388.98,398.27,2.332588445024723,2025-05-11,9.289999999999964
3,387.69,387.45,0.06194347657762527,2025-05-11,0.2400000000000091
4,386.87,375.88,2.9238054698307994,2025-05-11,10.990000000000009
5,385.5,390.21,1.2070423618051767,2025-05-11,4.7099999999999795
6,369.19,401.56,8.061061858750874,2025-05-11,32.370000000000005
7,333.8,419.75,20.47647409172126,2025-05-11,85.94999999999999
8,269.35,436.2,38.25080238422741,2025-05-11,166.84999999999997
9,144.65,455.8,68.26458973233875,2025-05-11,311.15
10,39.6,472.1,91.6119466214785,2025-05-11,432.5
11,15.98,484.25,96.70005162622613,2025-05-11,468.27
12,8.68,493.5,98.24113475177305,2025-05-11,484.82
13,24.64,488.0,94.95081967213115,2025-05-11,463.36
14,62.09,475.9,86.95314141626392,2025-05-11,413.80999999999995
15,201.5,460.3,56.22420160764718,2025-05-11,258.8
16,276.23,449.1,38.49254063682921,2025-05-11,172.87
17,379.4,440.65,13.899920571882445,2025-05-11,61.25
18,410.55,430.22,4.5720794012365795,2025-05-11,19.670000000000016
19,468.21,418.7,11.82469548602818,2025-05-11,49.50999999999999
20,501.75,405.55,23.720872888669707,2025-05-11,96.19999999999999
21,486.96,396.8,22.721774193548377,2025-05-11,90.15999999999997
22,427.59,385.2,11.00467289719626,2025-05-11,42.389999999999986
23,391.07,372.65,4.942975982825713,2025-05-11,18.420000000000016
